seccion,tema,informacion
Arquitectura,Función de cada tag,pide-presupuesto: lo aplica el flujo del bot y dispara la notificación interna con resumen aprobable. aprobar-proforma: lo aplica EL DUEÑO desde la app (su botón de aprobación) y dispara el envío automático de la proforma. pide-visita: dispara el aviso 'en breves momentos te contactamos'. derivado-humano: el bot se aparta. frio: lo aplican los follow-ups por inactividad.
Arquitectura,Pipeline Comercial Termical,"9 etapas en orden: Nuevo lead, Conversando, Visita agendada, Proforma enviada, Presupuesto formal enviado, Aprobado, Trabajo agendado, Completado, Cerrado. Ya existe: NO recrearlo."
Arquitectura,Regla anti-duplicados,"Los envíos automáticos NUNCA se disparan por cambio de etapa del pipeline; siempre por tag, con guard sobre el campo estado_proforma."
Arquitectura,Custom fields folder General,fuente_contacto (dropdown: WhatsApp / Web / Llamada o visita (manual) / Reseña) y fecha_primer_contacto (date). Ya existen.
Arquitectura,Custom fields folder Proforma,"tipo_servicio (instalación nueva/sustitución/reparación), tipo_aparato (termo eléctrico/calentador gas/caldera/aerotermo), litros_capacidad (50/80/100/150), paquete_interes (texto), valor_estimado (monetario, lo escribe el bot), direccion_servicio (texto), detalle_trabajo (texto largo opcional), estado_proforma (borrador/revisada/enviada — guard anti-duplicados). Ya existen."
Arquitectura,Custom field de oportunidad,requiere_visita (sí/no) a nivel de oportunidad. Ya existe.
Arquitectura,Custom values,"Carpeta 'Termical — Proforma' con: datos_fiscales, iban, diagnostico, metodos_pago, texto_rgpd, zona_servicio. Se mergean como {{ custom_values.nombre }}. Ya existen."
Arquitectura,Convenciones para crear elementos nuevos,Campos nuevos en snake_case. Tags nuevos en minúsculas-con-guiones. Todo en español. Timezone Europe/Madrid. Antes de crear: verificar que no exista ya.
Calendarios,Calendario Visitas,"Registro MANUAL con franjas de 2 horas: 10-12, 12-14, 16-18 y 18-20. Para diagnósticos y visitas de valoración."
Calendarios,Calendario Instalaciones,Registro MANUAL con bloqueos de mañana o de día completo. Para trabajos e instalaciones.
Calendarios,Prohibición de booking público,"PROHIBIDO configurar reserva pública, auto-agendado o compartir links de booking en cualquier calendario, salvo instrucción explícita en contra. El dueño anota a mano."
Calendarios,Recordatorios de cita,"El cliente recibe recordatorio 1 día antes y 2 horas antes de la cita, por plantillas de WhatsApp aprobadas por Meta."
Bot clientes,Recepcionista Termical,"Bot de Conversation AI para clientes finales. Habla castellano de España, tono cercano andaluz-neutro. Voice notes ON, imágenes ON, espera 10-15s, máximo 15 mensajes. Arranca en modo Suggestive y pasará a Auto-Pilot tras 1-2 semanas validadas."
Bot clientes,Qué hace el bot,"Responde FAQs desde su propia KB (precios, financiación, garantías, zona), captura datos del lead a custom fields mediante Bot Goals, pide FOTOS del aparato y su ubicación, y estima solo termos eléctricos, calentadores de gas y calderas."
Bot clientes,Qué NO hace el bot nunca,No agenda citas ni toca calendarios. No envía proformas. No cierra precios con extras. No estima aerotermia. No gestiona urgencias con riesgo (olor a gas: deriva a humano de inmediato).
Bot clientes,KBs separadas,La KB del Recepcionista (FAQs + catálogo para clientes) es DISTINTA de esta KB interna del Operador. Nunca conectar esta KB interna al bot de clientes.
Flujos,Flujo B proforma automática,"~80% de los casos: el bot captura campos + email + fotos, aplica tag pide-presupuesto, el dueño recibe resumen y aplica tag aprobar-proforma desde la app (2 taps), y el workflow genera el documento y lo envía por email. Guard: si estado_proforma=enviada, no se reenvía."
Flujos,Flujo A proforma manual,"Casos de bajo presupuesto, aerotermia o con extras: el dueño genera desde plantilla, edita y envía manualmente."
Flujos,Proforma: características,"Replica el formato real de sus presupuestos: emisor fiscal, cliente, concepto, bloque 'Sí se incluye / No se incluye', Base + IVA 21% + Total, métodos de pago, validez 15 días, pie RGPD y FIRMA DIGITAL (válida desde cualquier móvil)."
Flujos,Reseñas con encuesta-filtro,"Al completar un trabajo: encuesta 1-5 por WhatsApp ANTES de dar link de Google. Nota 1-3: notificación interna para gestionar al insatisfecho, sin link. Nota 4-5: agradecimiento + link de reseña + tag resena-solicitada."
Flujos,Seguimientos post-proforma,"Día 2 y día 5 con plantillas de WhatsApp aprobadas, con guards que abortan si la oportunidad avanzó de etapa. Sin respuesta: nota + tag frio."
Flujos,Follow-up por inactividad del bot,"A las 6 horas, día 3 y día 5 de inactividad del lead. Al final aplica tag frio y se detiene."
Fuera de alcance,Fase 2 - no construir ahora,"Facturación automática + Verifactu, suma automática de extras por IA, integración con la agenda de Leroy Merlin, y telefonía (número español sin Twilio; mitigación: buzón de voz con locución que deriva a WhatsApp)."
